Gare de Yverdon-les-Bains
État au 23 janvier 2025
Heure de départ      Ligne   Destination         Vias                                                                                                                                                                                                   Voie
17 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
17 45             R       Grandson            Grandson                                                                                                                                                                                               1
17 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
17 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
18 01             IC 5    St. Gallen          Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB, Zürich Flughafen, Winterthur, St. Gallen                                                                                1
18 03             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
18 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
18 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
Heure de départ   Ligne   Destination         Vias                                                                                                                                                                                                   Voie
18 15             R       Grandson            Grandson                                                                                                                                                                                               1
18 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
18 20             IR 57   Neuchâtel           Neuchâtel                                                                                                                                                                                              1
18 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
18 31             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB                                                                                                                           1
18 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
18 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
18 42             IR 57   Genève-Aéroport     Morges, Gland, Nyon, Genève, Genève-Aéroport                                                                                                                                                           2
18 45             R       Grandson            Grandson                                                                                                                                                                                               1
18 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
18 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
19 01             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB                                                                                                                          1
19 03             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
19 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
19 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
19 15             R       Grandson            Grandson                                                                                                                                                                                               1
19 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
19 20             IR 57   Neuchâtel           Neuchâtel                                                                                                                                                                                              1
19 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
19 31             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Zürich HB                                                                                                                           1
19 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
19 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
19 45             R       Grandson            Grandson                                                                                                                                                                                               1
19 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
19 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
20 01             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB                                                                                                                          1
20 03             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
20 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
20 05             R       Biel/Bienne         Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel, St-Blaise CFF, Cornaux NE, Cressier NE, Le Landeron, La Neuveville, Twann, Tüscherz, Biel/Bienne   3AB
20 15             R       Grandson            Grandson                                                                                                                                                                                               1
20 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
20 23             IR 57   Neuchâtel           Neuchâtel                                                                                                                                                                                              1
20 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
20 31             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Aarau, Brugg AG, Baden, Zürich HB                                                                                                   1
20 33             R       Ste-Croix           Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                                                                                                                                          13
20 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
20 45             R       Grandson            Grandson                                                                                                                                                                                               1
20 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                         2
20 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
21 01             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Solothurn, Bahn-2000-Strecke, Olten, Aarau, Zürich HB                                                                                                                          1
21 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                                                             3
21 09             R       Neuchâtel           Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel                                                                                                     3AB
21 15             R       Grandson            Grandson                                                                                                                                                                                               1
21 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully                                      2
21 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                                                    2
21 31             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Aarau, Brugg AG, Baden, Zürich HB                                                                                                   1
Heure de départ   Ligne   Destination         Vias                                                                                                                                                                Voie
21 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                          3
21 35             R       Ste-Croix           Yverdon William Barbey, La Brinaz, Valeyres-sous-Montagny, Essert-sous-Champvent, Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                     13
21 45             R       Grandson            Grandson                                                                                                                                                            1
21 47             R       Cully               Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully      2
21 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                 2
22 01             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Aarau, Zürich HB                                                                                 1
22 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                          3
22 09             R       Neuchâtel           Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel                                                                  3AB
22 15             R       Grandson            Grandson                                                                                                                                                            1
22 17             R       Cully               Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne, Pully, Lutry, Villette VD, Cully   2
22 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                 2
22 31             IC 5    Olten               Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten                                                                                                   1
22 34             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                          3
22 35             R       Ste-Croix           Yverdon William Barbey, La Brinaz, Valeyres-sous-Montagny, Essert-sous-Champvent, Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                     13
22 45             R       Grandson            Grandson                                                                                                                                                            1
22 47             R       Lausanne            Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne                                        2
22 59             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                 2
23 01             IC 5    Zürich HB           Neuchâtel, Biel/Bienne, Grenchen Süd, Solothurn, Oensingen, Olten, Aarau, Lenzburg, Zürich HB                                                                       1
23 04             S30     Fribourg/Freiburg   Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne, Corcelles-Sud, Cousset, Léchelles, Grolley, Belfaux CFF, Givisiez, Fribourg/Freiburg                          3
23 09             R       Neuchâtel           Concise, Gorgier-St-Aubin, Bevaix, Boudry, Colombier NE, Auvernier, Neuchâtel-Serrières, Neuchâtel                                                                  3AB
23 15             R       Grandson            Grandson                                                                                                                                                            1
23 17             R       Lausanne            Essert-Pittet, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne                                     2
23 29             IC 5    Lausanne            Renens VD, Lausanne                                                                                                                                                 2
23 31             IC      Delémont            Neuchâtel, Biel/Bienne, Grenchen Nord, Moutier, Delémont                                                                                                            1
23 34             S30     Payerne             Yvonand, Cheyres, Estavayer-le-Lac, Cugy FR, Payerne                                                                                                                3
23 35             R       Ste-Croix           Yverdon William Barbey, La Brinaz, Valeyres-sous-Montagny, Essert-sous-Champvent, Vuiteboeuf, Baulmes, Six-Fontaines, Ste-Croix                                     13
23 46             R       Grandson            Grandson                                                                                                                                                            1
23 47             R       Lausanne            Ependes VD, Chavornay, Bavois, Eclépens, Cossonay-Penthalaz, Vufflens-la-Ville, Bussigny, Renens VD, Prilly-Malley, Lausanne                                        2
